,A,B,C,D,Return,Beta,Risk,SharpeRatio,TreynorRatio,InformationRatio,DownRisk,SortioRatio,Efficient
2020,WIPRO,LT,ICICIBANK,VIDEOIND,-0.5435155301389807,0.9376788871096434,0.01643804486985934,-37.26206705166525,-0.6532252549985791,-41.80955915872035,0.009026172757479321,-67.85993871338596,-33.06448756175171
2021,WIPRO,LT,ICICIBANK,HINDZINC,0.06465363859438279,1.2432048772040298,0.011605748936861508,-0.3745007262575319,-0.003496094236206818,-6.815436137472595,0.006975017146003859,-0.6231327199112822,5.570828642435444
2022,WIPRO,LT,ICICIBANK,TCS,-0.0030967983565424184,0.6026355086796824,0.01994175216584809,-3.6153692893653644,-0.11963582848694017,-7.363880387057256,0.005842158755221609,-12.34078041650335,-0.15529218951211035
2023,WIPRO,LT,EICHERMOT,ICICIBANK,0.05686354296332765,1.1633750679697017,0.011215341201791308,-1.0821299876934576,-0.010432110306311318,-7.747275341377706,0.007052016964686114,-1.720990901957161,5.070157201659227
2024,WIPRO,LT,EICHERMOT,HDFC,0.045383861377806395,0.9744039917110809,0.008970695255207188,-2.6325873246541547,-0.024236496179293153,-10.965484293560985,0.005119134787297598,-4.61330666283562,5.059124191233961
2025,WIPRO,LT,EICHERMOT,SUNPHARMA,0.10783444413442912,0.941332175920232,0.010701641410851158,3.6288306292016195,0.04125477183064008,-3.3562547825845193,0.006607839159301635,5.877026240834443,10.076439678224322
2026,WIPRO,LT,EICHERMOT,ITC,0.060916952592476946,0.8753935840686801,0.00852080161523694,-0.9486252318172641,-0.009233615089974083,-9.721494578690823,0.005102855688901658,-1.5840242993943772,7.149204422685414
2027,WIPRO,LT,EICHERMOT,VIDEOIND,-0.6038895091527667,0.7037195013344519,0.01571782892924965,-42.810588674913745,-0.9561899419822488,-47.56645410884754,0.008490997005970318,-79.24740859991287,-38.4206694112172
2028,WIPRO,LT,EICHERMOT,HINDZINC,0.004279659580596634,1.0092454914288385,0.010354066247783641,-6.2507172419586565,-0.06412745062430311,-13.470284657523917,0.005959036633995936,-10.860873056255071,0.4133312920914259
2029,WIPRO,LT,EICHERMOT,TCS,-0.06347077737032858,0.3686761229044909,0.019335788823335687,-6.851066619555455,-0.35931477288711317,-10.717052123642437,0.005273950106678292,-25.117942849437203,-3.2825543322922477
2030,WIPRO,LT,HDFC,ICICIBANK,0.10862776078797287,1.2556061465509276,0.010877850823812697,3.6429770392901286,0.031560661674704185,-3.2289575470404324,0.006733823823792851,5.8848823231690055,9.986141798357439
2031,WIPRO,LT,HDFC,EICHERMOT,0.028129122102924647,0.9436602988506723,0.009274073509717252,-4.407003875292922,-0.04331100709318163,-12.467310839948619,0.005343393942746248,-7.648861067516517,3.033092424105904
2032,WIPRO,LT,HDFC,SUNPHARMA,0.15959866195907435,1.0335632545014577,0.010344272212669509,8.758340857282397,0.08765662049660897,1.531937900721772,0.006345892950770424,14.276739721566718,15.428698962852149
2033,WIPRO,LT,HDFC,ITC,0.11268117041712217,0.9676246626499059,0.00836185983319462,5.223858243081064,0.045142679908032016,-3.715765332568393,0.005111971397598204,8.544877703667359,13.475611008187961
2034,WIPRO,LT,HDFC,VIDEOIND,-0.5521252913281216,0.7959505799156777,0.01540013279593378,-40.33246333383062,-0.7803566037905557,-45.18643961388194,0.00838582234248394,-74.06850109158643,-35.85198248900189
2035,WIPRO,LT,HDFC,HINDZINC,0.056043877405241846,1.1014765700100642,0.009905619871528597,-1.3079567722962522,-0.01176250403096616,-8.854367826889591,0.005611972793977587,-2.3086574134254265,5.657785997454531
2036,WIPRO,LT,HDFC,TCS,-0.011706559545683365,0.46090720148571673,0.019121498554275623,-4.220723564975882,-0.17510370696211486,-8.130034286043196,0.004996046148572975,-16.154086080396926,-0.6122197751632674
2037,WIPRO,LT,SUNPHARMA,ICICIBANK,0.1554656978554399,1.2308022847077909,0.011696424941873257,7.392489438879078,0.07025149281061663,1.001487087939282,0.007091202567095488,12.193375811411308,13.291727910711586
2038,WIPRO,LT,SUNPHARMA,EICHERMOT,0.07496705917039169,0.9188564370075356,0.01015226614259378,0.587756377401979,0.006494005951381007,-6.775316876507484,0.006098611394742592,0.9784291511893486,7.384268508866978
2039,WIPRO,LT,SUNPHARMA,HDFC,0.14398601626991864,1.04183120844917,0.00948748019505578,7.903680927734233,0.07197520640751387,0.02467851990223806,0.005660595934476082,13.247018006216157,15.176423382148846
